"id";"mapId";"player";"datetime";"medal";"timeSpent";"mapper";"styles";"skipType";"atTime";"finalTime";"currentMedalCount";"freeSkipCount";"pbBeforeFin";"mapTitle";"currentGoldCount"
77;166013;"Scrapie98";"2025-01-08 16:10:46.715434";"gold";26818;"Jalet98";"Dirt,Sausage,Bobsleigh,";"noskip";15579;16356;12;4;-1;"short bob colon three";4
78;60916;"Scrapie98";"2025-01-08 16:13:08.083789";"gold";135980;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";17816;17998;12;4;20173;"Nightcall - Red";5
79;209139;"Scrapie98";"2025-01-08 16:17:18.124038";"at";242435;"AuwrahTM";"Race,SpeedMapping,";"noskip";35196;34408;13;4;38315;"M&M Cup | B-5";5
80;193619;"Scrapie98";"2025-01-08 16:19:29.351059";"at";126967;"TheTerriator";"Dirt,Scenery,Grass,";"noskip";67578;61281;14;4;-1;"sigaretje na een lange dag";5
81;173301;"Scrapie98";"2025-01-08 16:25:09.991398";"gold";336786;"SSano";"RPG,";"noskip";72535;76218;14;4;84278;"SOTW #25 beep bip";6
82;51807;"Scrapie98";"2025-01-08 16:26:09.554055";"at";55469;"Gazorpalse";"LOL,Reactor,";"noskip";16666;16228;15;4;-1;"Stoopid 4";6
83;1072;"Scrapie98";"2025-01-08 16:26:38.624674";"at";25339;"mightyphoenix95";"Race,";"noskip";9783;9757;16;4;-1;"mightyphoenix95's Training 014";6
84;211111;"Scrapie98";"2025-01-08 16:28:09.939881";"gold";82888;"Maze_TM";"SpeedTech,Ice,Pathfinding,";"noskip";68150;72710;16;4;-1;"Black & White Icy Fight";7
85;84219;"Scrapie98";"2025-01-08 16:34:30.198306";"gold";376586;"ZrackZz";"RPG,LOL,Mini,";"noskip";10444;11505;16;4;12134;"Really Short Maps 401";8
86;28753;"Scrapie98";"2025-01-08 16:37:11.735941";"gold";151591;"pickledave33";"FullSpeed,Platform,Grass,";"noskip";42713;43268;16;4;44476;"Val Maira";9
87;136004;"Scrapie98";"2025-01-08 16:38:20.392526";"at";64130;"Koble";"Mini,Plastic,";"noskip";15995;15688;17;4;16198;"Tiny Maps - 137";9
88;24973;"Scrapie98";"2025-01-08 16:40:59.570325";"gold";153845;"cLM";"Tech,Competitive,Scenery,";"noskip";61438;65148;17;4;74688;"GA2021 - Humble Forest";10
89;171660;"Scrapie98";"2025-01-08 16:42:02.140102";"gold";57276;"xHuqert";"Grass,";"noskip";49135;52155;17;4;-1;"RegnuH18";11
90;80353;"Scrapie98";"2025-01-08 16:42:36.189319";"at";30082;"Rabbi";"Mixed,";"noskip";29336;26445;18;4;-1;"KEKL - tap gas and touch grass";11
91;211600;"Scrapie98";"2025-01-08 16:49:12.063543";"skip";391887;"Dussll";"Altered Nadeo,Wood,DesertCar,";"freeskip";112813;-1;18;3;-1;"Fall 2024 - 17 - Reverse Desert";11
92;82966;"Scrapie98";"2025-01-08 16:50:07.820908";"at";51081;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";9577;9498;19;3;9647;"DivingSpeed - White";11
93;25906;"Scrapie98";"2025-01-08 16:52:24.710157";"at";133081;"HandsomelessKing";"Platform,Mini,Transitional,";"noskip";22158;21753;20;3;22332;"Something30";11
94;181614;"Scrapie98";"2025-01-08 16:54:35.44405";"at";122116;"ChalkieTM";"SpeedFun,Freestyle,Bugslide,";"noskip";57414;55808;21;3;59355;"Seaside Touge";11
95;210878;"Scrapie98";"2025-01-08 16:55:51.174026";"at";71074;"DESMANE";"MultiLap,";"noskip";53835;53777;22;3;-1;"Map34";11
96;53526;"Scrapie98";"2025-01-08 16:56:38.538975";"gold";41104;"Hwaiz";"Competitive,Dirt,Scenery,";"noskip";34431;36194;22;3;-1;"Sandy Canyonft JarCrab)";12
97;192875;"Scrapie98";"2025-01-08 16:57:20.709649";"at";38519;"ITS2RAPID4U";"Mixed,";"noskip";19024;16324;23;3;-1;"garbegio";12
98;197210;"Scrapie98";"2025-01-08 16:57:42.342772";"at";12872;"endriago-1988";"LOL,";"noskip";9735;9352;24;3;-1;"Under 10 Seconds V";12
99;124935;"Scrapie98";"2025-01-08 16:58:21.586458";"at";35135;"BurritoBrown42";"Dirt,";"noskip";31463;31418;25;3;-1;"Burrito - 03";12
100;48457;"Scrapie98";"2025-01-08 16:58:34.574019";"skip";7867;"Nasti_Eb";"Ice,Dirt,Mixed,";"brokenskip";60053;-1;25;3;-1;"Frozen Desert";12
101;190262;"Scrapie98";"2025-01-08 16:59:53.846742";"gold";74748;"Ditchfest community";"Transitional,Plastic,SpeedMapping,";"noskip";26636;27701;25;3;-1;"DF - 67 Thunder";13
102;193778;"Scrapie98";"2025-01-08 17:05:20.610522";"gold";322405;"ApexCryptLord";"Tech,Mini,Bobsleigh,";"noskip";41457;42509;25;3;50967;"Are you Mad or Sausage?";14
103;44380;"Scrapie98";"2025-01-08 17:06:19.018308";"at";54059;"SlurpyCollin13";"Race,Scenery,";"noskip";50758;50491;26;3;-1;"Uphill";14
104;174481;"Scrapie98";"2025-01-08 17:06:40.339086";"at";17399;"Gamer.PaleHands";"LOL,";"noskip";14442;13948;27;3;-1;"bingo bois 02";14
105;204314;"Scrapie98";"2025-01-08 17:10:48.313234";"skip";242835;"yumi";"Mixed,EngineOff,Freestyle,";"freeskip";15709;-1;27;2;-1;"LarsComp#4 - Yumi";14
106;193171;"Scrapie98";"2025-01-08 17:13:28.493642";"at";154229;"Roepke";"Mixed,Water,Underwater,";"noskip";44939;43231;28;2;-1;"RGD #9";14
107;44996;"Scrapie98";"2025-01-08 17:14:13.641361";"at";41204;"AK-Infinite2";"Ice,Stunt,Plastic,";"noskip";10990;10801;29;2;12088;"Infinite-LOL #01";14
108;62131;"Scrapie98";"2025-01-08 17:14:56.132501";"at";38638;"Whycas";"Mini,Water,Plastic,";"noskip";21652;21458;30;2;-1;"NAFC - map before i nap";14
109;181585;"Scrapie98";"2025-01-08 17:17:57.947623";"at";176680;"SommaticComet26";"SpeedTech,Grass,";"noskip";41418;41350;31;2;42016;"Sky Garden";14
110;53404;"Scrapie98";"2025-01-08 17:19:26.478322";"at";83602;"BC_Neuille";"Mixed,";"noskip";38821;37864;32;2;39887;"l'ile au diamant";14
111;161163;"Scrapie98";"2025-01-08 17:23:12.608939";"gold";220130;"Deif";"Tech,Dirt,";"noskip";39789;40908;32;2;55965;"Chemical";15
112;81745;"Scrapie98";"2025-01-08 17:23:46.994124";"at";30278;"Mumu_Didi";"LOL,Reactor,Remake,";"noskip";5679;5407;33;2;-1;"YEET Fall 2022 - 14 (Multilap Special Rule)";15
113;178767;"Scrapie98";"2025-01-08 17:26:39.233544";"at";167987;"iesauka";"Mini,SnowCar,";"noskip";16524;16479;34;2;16570;"SVR 97 - iesauka";15
114;149752;"Scrapie98";"2025-01-08 17:28:16.160073";"at";92893;"Taters44";"Dirt,Grass,Plastic,";"noskip";40447;39204;35;2;47641;"Mixed";15
115;106182;"Scrapie98";"2025-01-08 17:29:56.872957";"at";96394;"SmirkVG";"Tech,MultiLap,Scenery,";"noskip";92888;92433;36;2;-1;"Mattadom Circuit";15
116;34607;"Scrapie98";"2025-01-08 17:31:15.643386";"at";74470;"ODA.chinokira";"Tech,Dirt,Mixed,";"noskip";31946;31775;37;2;33118;" ERROR  404";15
117;36904;"Scrapie98";"2025-01-08 17:34:28.969518";"at";189176;"Th3Merx";"LOL,Mixed,";"noskip";29646;29124;38;2;-1;"SurPiloltis";15
118;73329;"Scrapie98";"2025-01-08 17:36:48.041922";"at";134159;"Xerssa_";"Race,Dirt,Mixed,";"noskip";52035;48774;39;2;73699;"DirtyBumper";15
119;15881;"Scrapie98";"2025-01-08 17:38:39.99638";"at";107931;"gigtheboss";"Tech,Mini,";"noskip";24595;24220;40;2;24888;"Fannybaws";15
120;157117;"Scrapie98";"2025-01-08 17:39:02.437417";"at";18331;"jjeFFeSS";"Wood,";"noskip";14179;5957;41;2;-1;"RMC Freebie #115 - Lane Drop";15
121;196199;"Scrapie98";"2025-01-08 17:40:16.589888";"gold";69703;"X410isGone";"Ice,Mini,Bobsleigh,";"noskip";20675;21038;41;2;23595;"Cold Welcome - The Retreat";16
122;75264;"Scrapie98";"2025-01-08 17:41:02.664819";"at";42161;"RenacerZh";"Tech,Scenery,Transitional,";"noskip";43682;38339;42;2;-1;"UTT untransitional super tech";16
123;108524;"Scrapie98";"2025-01-08 17:41:26.881839";"at";20220;"jamal-_-smalls";"Tech,";"noskip";16685;16368;43;2;-1;"PSM";16
124;138083;"Scrapie98";"2025-01-08 17:42:38.809986";"at";67768;"Epik-Bipbopz";"Tech,Dirt,EngineOff,";"noskip";27346;26970;44;2;27384;"Lovely nightmare";16
125;136593;"Scrapie98";"2025-01-08 17:46:46.526488";"at";224934;"Kcedus";"Ice,";"noskip";115214;92071;45;2;-1;"ICY TTT - Ninjah";16
126;104813;"Scrapie98";"2025-01-08 17:48:29.023029";"at";97105;"h0bofps";"Mixed,";"noskip";40224;37389;46;2;-1;"return to da strem";16
127;161926;"Scrapie98";"2025-01-08 17:50:20.946149";"at";107822;"V_Max10";"Reactor,Water,Wood,";"noskip";23788;23670;47;2;24348;"Wet Wood Rollercoaster";16
128;35165;"Scrapie98";"2025-01-08 17:54:58.516909";"at";273096;"BassTTV";"Race,FullSpeed,SpeedTech,";"noskip";35043;34682;48;2;35138;"Left in the Dark";16
129;210415;"Scrapie98";"2025-01-08 17:57:16.708676";"gold";130074;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";22548;23822;48;2;-1;"Strange Animals - Red (Updated)";17
130;88801;"Scrapie98";"2025-01-08 17:58:25.740449";"at";65182;"ZrackZz";"Ice,Mini,Mixed,";"noskip";20000;19962;49;2;20064;"EVO MINI ATTEMPT 19";17
131;101897;"Scrapie98";"2025-01-08 17:59:11.957067";"gold";35278;"AimlessRL";"LOL,Reactor,";"noskip";22678;24532;49;2;-1;"AIM LOL #3 ft MrHighway v1b";18
132;166840;"Scrapie98";"2025-01-08 17:59:36.619959";"at";20896;"arnaudpiret";"LOL,Trial,Mini,";"noskip";13759;13107;50;2;-1;"hepha 3 blocks 17";18
133;169007;"Scrapie98";"2025-01-08 17:59:50.283496";"at";8824;"Mickhael_1040";"Stunt,";"noskip";5164;4947;51;2;-1;"Speed";18
134;206056;"Scrapie98";"2025-01-08 18:00:08.751333";"at";13528;"atomcxre";"Mini,Grass,";"noskip";9773;9764;52;2;-1;"Monoblock 04 - Garden";18
135;77157;"Scrapie98";"2025-01-08 18:02:30.677472";"gold";136210;"Scorchius";"Remake,Plastic,";"noskip";59192;60361;52;2;67742;"Plastic Fall 2022 - 17 (ft' Zodiark)";19
136;39380;"Scrapie98";"2025-01-08 18:04:57.172225";"at";142435;"biwegas";"LOL,Water,Plastic,";"noskip";45817;38115;53;2;-1;"PePeGa CuP - Spongebob";19
137;43183;"Scrapie98";"2025-01-08 18:05:06.76047";"skip";5507;"chacalouu";"RPG,Ice,Signature,";"brokenskip";155591;-1;53;2;-1;"LigueZzzer - RPG Ice";19
138;487;"Scrapie98";"2025-01-08 18:07:19.217753";"at";127951;"idlukakas";"MultiLap,";"noskip";16624;16624;54;2;16648;"Grecision";19
139;38904;"Scrapie98";"2025-01-08 18:07:50.143847";"at";26003;"SuperNowa_FL";"Race,Competitive,Mini,";"noskip";23530;22012;55;2;-1;"15min TOP CHRONO";19
140;157215;"Scrapie98";"2025-01-08 18:09:17.88471";"at";84210;"osiriscorp";"Mini,Bobsleigh,";"noskip";8748;8748;56;2;8788;"Micromaps Winter 2024 - 25";19
141;203737;"Scrapie98";"2025-01-08 18:13:08.229847";"at";225604;"MossTM";"Mixed,Plastic,";"noskip";41500;41373;57;2;41710;"Glass Onions";19
142;93008;"Scrapie98";"2025-01-08 18:13:48.410494";"at";36122;"screamingroostr";"LOL,";"noskip";19494;18609;58;2;-1;"hole?";19
143;133902;"Scrapie98";"2025-01-08 18:15:05.091708";"at";72399;"illancup";"Race,";"noskip";61920;53027;59;2;-1;"tynnyrin teloitus";19
144;131379;"Scrapie98";"2025-01-08 18:16:04.632445";"at";55562;"destroyer794";"Ice,";"noskip";59999;51953;60;2;-1;"Ice Basic 1";19
145;195590;"Scrapie98";"2025-01-08 18:19:44.180973";"at";214816;"Eggburgers";"LOL,SpeedMapping,";"noskip";22195;20014;61;2;34012;"Troll Pipe Configuration 5";19
146;209360;"Scrapie98";"2025-01-08 18:19:57.24662";"skip";8847;"Patriam";"Altered Nadeo,SnowCar,Underwater,";"freeskip";119700;-1;61;1;34012;"Fall 2020 - 17 [Snow] (UW)";19
147;60327;"Scrapie98";"2025-01-08 18:20:50.93649";"at";49397;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";24147;23734;62;1;-1;"NIGHT VIBES - Red";19
148;23995;"Scrapie98";"2025-01-08 18:22:04.421001";"at";68931;"3MON";"Tech,Mixed,Transitional,";"noskip";45315;44335;63;1;-1;"Vanilla";19
149;38434;"Scrapie98";"2025-01-08 18:24:18.0393";"at";124802;"Lomat2000";"FullSpeed,";"noskip";30584;28151;64;1;45518;"Waifu Speed";19
150;214782;"Scrapie98";"2025-01-08 18:26:19.950771";"gold";117606;"mikalson32";"Bobsleigh,";"noskip";13974;14169;64;1;-1;"whoopie cusion";20
151;152680;"Scrapie98";"2025-01-08 18:28:15.943224";"gold";110092;"fabysco";"LOL,Mini,";"noskip";21366;21511;64;1;26246;"fab lol #1251";21
152;160312;"Scrapie98";"2025-01-08 18:28:54.538326";"at";34044;"Bapdada";"Mini,SnowCar,";"noskip";8373;8310;65;1;8426;" 10,000 Map Speedrun 00082";21
153;23065;"Scrapie98";"2025-01-08 18:31:17.350485";"at";134244;"nity68150";"Scenery,Mixed,";"noskip";46748;46538;66;1;47838;"Wasteland";21
154;199421;"Scrapie98";"2025-01-08 18:36:19.324041";"gold";297956;"BloodForNoxus";"LOL,Ice,RallyCar,";"noskip";32038;32453;66;1;48812;"Chasing Risk";22
155;47827;"Scrapie98";"2025-01-08 18:37:26.553104";"at";62704;"KlitlikasWTF";"Ice,Transitional,Plastic,";"noskip";75261;59059;67;1;-1;"Petit Parkour De Nuit!!! v2";22
156;190404;"Scrapie98";"2025-01-08 18:38:45.866617";"skip";75299;"avi___";"Trial,Reactor,DesertCar,";"freeskip";25188;-1;67;0;-1;"df79 Half-Drive";22
157;129931;"Scrapie98";"2025-01-08 18:38:59.095372";"at";9340;"JJjoker57";"LOL,";"noskip";18246;6061;68;0;-1;"RMC free 0781";22
158;145753;"Scrapie98";"2025-01-08 18:49:25.199193";"at";617807;"BlevTheRealOne";"LOL,Ice,Dirt,";"noskip";16115;16044;69;0;-1;"unluckE  - SO GOOD RAYSSUU!!!!";22
159;159396;"Scrapie98";"2025-01-08 18:50:12.493404";"at";43338;"Blowy_";"LOL,Plastic,SnowCar,";"noskip";20732;20658;70;0;-1;"Bonki Blowi #2 - Mini";22
163;159738;"Scrapie98";"2025-01-08 19:13:26.980357";"gold";1390497;"VANTORICADRU";"LOL,Reactor,Bobsleigh,";"noskip";38177;39705;70;0;42264;"two cps linked just saying";23
164;157379;"Scrapie98";"2025-01-08 19:16:21.388868";"at";169590;"AraiKay";"SpeedFun,Dirt,";"noskip";118614;110004;71;0;-1;"Blistering speeds of doom 3000 of death megatrix";23
165;66271;"Scrapie98";"2025-01-08 19:17:24.42216";"skip";56318;"Cra_Z_Monkey";"Fragile,Mixed,Transitional,";"brokenskip";51897;-1;71;0;-1;"Turbulence";23
166;15782;"Scrapie98";"2025-01-08 19:19:53.832686";"at";144080;"Vneck";"FullSpeed,Reactor,Scenery,";"noskip";40885;40731;72;0;42002;"Sunset Observatory";23
167;156187;"Scrapie98";"2025-01-08 19:21:33.144597";"gold";94723;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";17522;18231;72;0;19057;"Crystal Cavern - Red";24
168;77374;"Scrapie98";"2025-01-08 19:22:01.702688";"at";24358;"BurgerhamYeet";"Educational,";"noskip";3100;3100;73;0;3101;"Bored";24
169;211604;"Scrapie98";"2025-01-08 19:22:55.628133";"at";50132;"keradim";"LOL,";"noskip";13787;11757;74;0;-1;"002 | Cluto The Persuasive";24
170;170375;"Scrapie98";"2025-01-08 19:25:03.800555";"at";123138;"HisuianSamurot";"Dirt,";"noskip";36051;35892;75;0;36643;"Elevated Oasis";24
171;178655;"Scrapie98";"2025-01-08 19:25:41.627943";"at";32578;"Loohan.";"Mini,";"noskip";8375;8367;76;0;8381;"glorp mini 6";24
172;72727;"Scrapie98";"2025-01-08 19:25:53.743932";"skip";8323;"pandablanc333";"Ice,";"brokenskip";33377;-1;76;0;8381;"Desert Rodeo";24
173;106047;"Scrapie98";"2025-01-08 19:27:22.286473";"gold";84618;"SKY.V2";"Tech,SpeedTech,";"noskip";36545;37322;76;0;39789;"Random Speedtech Night V";25
174;189942;"Scrapie98";"2025-01-08 19:27:34.455555";"skip";5774;"yumi";"Bumper,Educational,SpeedMapping,";"brokenskip";22739;-1;76;0;39789;"Yumi's School - Mata Ashita ne";25
175;22389;"Scrapie98";"2025-01-08 19:28:30.116065";"at";51307;"Ubisoft Nadeo";"Race,";"noskip";48336;47405;77;0;-1;"Winter 2021 - 09";25
176;97578;"Scrapie98";"2025-01-08 19:30:52.957357";"at";138505;"Calokk";"MultiLap,Nascar,";"noskip";137792;134785;78;0;-1;"Bean Nascar";25
177;214113;"Scrapie98";"2025-01-08 19:31:30.262315";"at";33500;"Glossy.KPR";"LOL,";"noskip";4283;4280;79;0;4284;"Glossy u5s 049";25
178;75963;"Scrapie98";"2025-01-08 19:32:08.895926";"gold";31596;"noobbcp";"LOL,";"noskip";12164;12739;79;0;-1;"coquillette";26
179;3078;"Scrapie98";"2025-01-08 19:32:23.525553";"skip";10690;"r_teroor";"Race,SpeedTech,Ice,";"brokenskip";38395;-1;79;0;-1;"God Mode";26
180;150453;"Scrapie98";"2025-01-08 19:32:30.864789";"skip";10690;"screamingroostr";"LOL,";"forceSwitch";41984;-1;79;0;-1;"stealing anouther map idea xdd";26
181;63633;"Scrapie98";"2025-01-08 19:34:04.607406";"at";90014;"ExoTicZ.TM";"Mini,";"noskip";15068;14995;80;0;15085;"Exo's Mini's #005";26
182;165080;"Scrapie98";"2025-01-08 19:35:40.529476";"at";91614;"Aur0ra.TM";"Scenery,SnowCar,Wood,";"noskip";35812;34102;81;0;-1;" Renegades";26
183;39465;"Scrapie98";"2025-01-08 19:37:06.862824";"at";81611;"Leores";"Tech,Dirt,";"noskip";35368;35168;82;0;40438;"-Deep Feelings-";26
184;32525;"Scrapie98";"2025-01-08 19:38:57.079612";"gold";105869;"heyerdhal";"Mixed,";"noskip";43156;45126;82;0;-1;"Heyermx -  Not so random";27
185;182970;"Scrapie98";"2025-01-08 19:39:33.724234";"gold";32284;"Topic.";"Bobsleigh,SnowCar,";"noskip";26316;27228;82;0;-1;"ALP Bob - #12";28
186;42926;"Scrapie98";"2025-01-08 19:41:27.41552";"gold";109658;"guzik94";"Mixed,Transitional,";"noskip";35246;36673;82;0;56886;"Short#3";29
187;90150;"Scrapie98";"2025-01-08 19:44:20.012716";"at";167375;"Araknuum";"Ice,Dirt,Mini,";"noskip";18122;17651;83;0;18178;"Apun";29
188;62341;"Scrapie98";"2025-01-08 19:45:22.347434";"at";56141;"OHIO_JG";"Dirt,Mini,";"noskip";14962;14721;84;0;15601;"Can U get sub 15s? -White08";29
189;91894;"Scrapie98";"2025-01-08 19:46:30.824164";"at";64142;"R1CZ4RD";"Water,Sausage,";"noskip";54703;51142;85;0;-1;"Track Generator #23";29
190;191975;"Scrapie98";"2025-01-08 19:47:22.860277";"at";48067;"sqapple";"Scenery,SpeedMapping,";"noskip";47230;44558;86;0;-1;"Speedy Canyon";29
191;214872;"Larstm";"2025-01-08 20:05:50.407893";"gold";53792;"aR-SCORP";"Ice,RallyCar,";"noskip";50294;53792;0;4;-1;"Barely Calculated Console Editor Rice 002";1
192;166071;"Larstm";"2025-01-08 20:07:24.345361";"at";88077;"RobynLtW";"Ice,Altered Nadeo,";"noskip";38534;37922;1;4;43086;"Spring 2024 Ice - 08";1
193;136943;"Larstm";"2025-01-08 20:07:42.798399";"at";14225;"JJjoker57";"LOL,";"noskip";15826;10853;2;4;-1;"RMC free 1256";1
194;166418;"Larstm";"2025-01-08 20:08:16.083046";"gold";28111;"gravitee.";"Dirt,Mini,";"noskip";9831;9910;2;4;10024;"U10-S7";2
195;18326;"Larstm";"2025-01-08 20:09:56.184936";"at";95740;"awexustm";"Race,";"noskip";29145;28878;3;4;31201;"ZPark";2
196;24292;"Larstm";"2025-01-08 20:10:33.265983";"at";33027;"Unstep_TM";"Ice,";"noskip";16999;16522;4;4;-1;"IceMaster_02";2
197;27627;"Larstm";"2025-01-08 20:12:02.680414";"at";84843;"Sunnthos";"Race,";"noskip";34952;33632;5;4;44957;"Decadence";2
198;161286;"Larstm";"2025-01-08 20:12:33.062132";"at";25962;"endriago-1988";"Race,Mini,";"noskip";10272;10145;6;4;10464;"End's School - Road #03";2
199;173511;"Larstm";"2025-01-08 20:15:59.131029";"gold";193980;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";38777;39448;6;4;-1;"Flower Fairy - Black";3
200;203672;"Larstm";"2025-01-08 20:16:40.956817";"at";37318;"havarh";"Altered Nadeo,";"noskip";37287;33414;7;4;-1;"Fall 2024 - 07 (1-DOWN)";3
201;22448;"Larstm";"2025-01-08 20:19:42.932682";"at";168326;"Proff10";"Race,Scenery,Mini,";"noskip";23438;23297;8;4;23463;"Proff - Short - 42";3
202;84487;"Larstm";"2025-01-08 20:20:17.894925";"at";29661;"Zai";"LOL,";"noskip";27132;26114;9;4;-1;"ingrown toenail";3
203;131208;"Larstm";"2025-01-08 20:21:19.972788";"at";57935;"DeekoTM";"Mixed,";"noskip";25946;25828;10;4;26291;"Learning mapping";3
204;80166;"Larstm";"2025-01-08 20:22:42.430253";"at";78262;"Whycas";"LOL,Mini,";"noskip";15752;13298;11;4;-1;"tricks 2";3
205;34804;"Larstm";"2025-01-08 20:23:32.919377";"at";45934;"Opti0ignon";"Race,";"noskip";43688;42214;12;4;-1;"SbintoWin";3
206;206695;"Larstm";"2025-01-08 20:23:54.732848";"at";17360;"GeometryCrafter";"Race,Grass,";"noskip";13954;13824;13;4;-1;"Project Blitz - 02";3
207;166423;"Larstm";"2025-01-08 20:25:12.634879";"at";73653;"GDJackAttack1";"Backwards,";"noskip";50964;42760;14;4;-1;"B11 - Backwards";3
208;106773;"Larstm";"2025-01-08 20:28:59.68012";"at";221682;"Snowwwolf555";"Mixed,";"noskip";46238;46165;15;4;46268;"Alpine Descent";3
209;153267;"Larstm";"2025-01-08 20:34:23.527864";"gold";316408;"Henkisme";"Competitive,Ice,";"noskip";57212;60776;15;4;62587;"PIL - Lawsuit ft' DL";4
210;181123;"Larstm";"2025-01-08 20:35:14.892425";"at";45866;"Komodo617";"Press Forward,";"noskip";42428;42428;16;4;-1;"Laziest PF #1";4
211;176006;"Larstm";"2025-01-08 20:35:30.602295";"at";10013;"YutoUwU";"Platform,";"noskip";6438;6437;17;4;-1;"WR holder kinda cute - 60";4
212;30022;"Larstm";"2025-01-08 20:36:05.591217";"at";28916;"jingatak";"Competitive,";"noskip";27488;25204;18;4;-1;"Speed3";4
213;62634;"Larstm";"2025-01-08 20:39:37.974568";"at";206585;"sssilvius";"RPG,Mini,Mixed,";"noskip";51011;49586;19;4;-1;"MINIRPG - Spinip";4
214;51644;"Larstm";"2025-01-08 20:40:29.754319";"skip";47676;"noobbcp";"LOL,Reactor,";"freeskip";9866;-1;19;3;-1;"sorry scrapie #1 but better AT x2";4
215;61567;"Larstm";"2025-01-08 20:40:59.688901";"at";17919;"Royal Training Maps";"LOL,Stunt,Mini,";"noskip";11957;11855;20;3;-1;"Dirty Waves - White";4
216;148844;"Larstm";"2025-01-08 20:45:53.529278";"gold";252783;"Kxyyy";"Transitional,EngineOff,";"noskip";43921;45906;20;3;47473;"adrift.";5
217;157771;"Larstm";"2025-01-08 20:47:27.752012";"at";82169;"supine";"LOL,Mixed,RallyCar,";"noskip";19864;19738;21;3;45085;"Yes SSSire";5
218;72476;"Larstm";"2025-01-08 20:49:36.202556";"at";73632;"Brengaming81";"ZrT,Water,";"noskip";37652;37344;22;3;-1;"Water ZrT";6
219;208776;"Larstm";"2025-01-08 20:51:44.617714";"at";119669;"sewiti";"Mixed,";"noskip";43722;43478;23;3;43843;"Citrus 1";6
220;166541;"Larstm";"2025-01-08 20:52:40.517072";"at";51436;"LeManuelet";"Reactor,Puzzle,";"noskip";9503;9008;24;3;9642;"No Steer Is Weird [No Cut]";6
221;91056;"Larstm";"2025-01-08 20:53:34.906424";"at";42646;"illancup";"Race,";"noskip";39188;38925;25;3;-1;"Naga";6
222;31820;"Larstm";"2025-01-08 20:55:38.644431";"gold";114143;"Solux";"SpeedTech,Transitional,";"noskip";40854;43592;25;3;52054;"REBIRTH";7
